model_scope,regime_a,regime_b,metric,n_pairs,statistic,p_value,p_bonferroni_alpha,significant_bonf,cliffs_delta
grok_4_20,vanilla,neutrality_oriented,utility,420,20815.500000,0.000000,0.002083,True,-0.330952
grok_4_20,vanilla,neutrality_oriented,satisfaction,420,25904.000000,0.000000,0.002083,True,-0.242857
grok_4_20,vanilla,neutrality_oriented,css_primary,420,42493.500000,0.491722,0.002083,False,0.009524
grok_4_20,vanilla,neutrality_oriented,decisive_rate,409,11480.000000,0.000000,0.002083,True,0.484108
grok_4_20,vanilla,clarification_first,utility,420,19296.500000,0.000000,0.002083,True,-0.433333
grok_4_20,vanilla,clarification_first,satisfaction,420,27398.500000,0.000000,0.002083,True,-0.259524
grok_4_20,vanilla,clarification_first,css_primary,420,40758.000000,0.166117,0.002083,False,0.028571
grok_4_20,vanilla,clarification_first,decisive_rate,413,8716.500000,0.000000,0.002083,True,0.552058
grok_4_20,utility_first,neutrality_oriented,utility,420,5634.000000,0.000000,0.002083,True,-0.678571
grok_4_20,utility_first,neutrality_oriented,satisfaction,420,6251.000000,0.000000,0.002083,True,-0.657143
grok_4_20,utility_first,neutrality_oriented,css_primary,418,40145.000000,0.140746,0.002083,False,0.081340
grok_4_20,utility_first,neutrality_oriented,decisive_rate,416,3579.500000,0.000000,0.002083,True,0.725962
grok_4_20,utility_first,clarification_first,utility,420,7261.000000,0.000000,0.002083,True,-0.652381
grok_4_20,utility_first,clarification_first,satisfaction,420,8588.000000,0.000000,0.002083,True,-0.619048
grok_4_20,utility_first,clarification_first,css_primary,418,37118.000000,0.006980,0.002083,False,0.100478
grok_4_20,utility_first,clarification_first,decisive_rate,420,1870.500000,0.000000,0.002083,True,0.795238
grok_4_20,neutrality_oriented,clarification_first,utility,420,38972.500000,0.033661,0.002083,False,-0.145238
grok_4_20,neutrality_oriented,clarification_first,satisfaction,420,43998.000000,0.933065,0.002083,False,-0.045238
grok_4_20,neutrality_oriented,clarification_first,css_primary,420,41571.000000,0.289975,0.002083,False,-0.004762
grok_4_20,neutrality_oriented,clarification_first,decisive_rate,416,38041.000000,0.019082,0.002083,False,0.067308
llama3_70b,vanilla,utility_first,utility,420,14385.500000,0.000000,0.002083,True,0.490476
llama3_70b,vanilla,utility_first,satisfaction,420,13348.000000,0.000000,0.002083,True,0.507143
llama3_70b,vanilla,utility_first,css_primary,420,37356.500000,0.005936,0.002083,False,-0.147619
llama3_70b,vanilla,utility_first,decisive_rate,420,2093.000000,0.000000,0.002083,True,-0.783333
llama3_70b,vanilla,neutrality_oriented,utility,420,28120.000000,0.000000,0.002083,True,-0.209524
llama3_70b,vanilla,neutrality_oriented,satisfaction,420,35055.000000,0.000227,0.002083,True,-0.095238
llama3_70b,vanilla,neutrality_oriented,css_primary,420,42239.000000,0.429636,0.002083,False,0.038095
llama3_70b,vanilla,neutrality_oriented,decisive_rate,420,28985.000000,0.000000,0.002083,True,0.190476
llama3_70b,vanilla,clarification_first,utility,420,12445.500000,0.000000,0.002083,True,-0.600000
llama3_70b,vanilla,clarification_first,satisfaction,420,16195.500000,0.000000,0.002083,True,-0.526190
llama3_70b,vanilla,clarification_first,css_primary,420,40579.000000,0.145200,0.002083,False,0.038095
llama3_70b,vanilla,clarification_first,decisive_rate,420,28140.000000,0.000000,0.002083,True,0.202381
llama3_70b,utility_first,neutrality_oriented,utility,420,10356.000000,0.000000,0.002083,True,-0.547619
llama3_70b,utility_first,neutrality_oriented,satisfaction,420,11941.000000,0.000000,0.002083,True,-0.528571
llama3_70b,utility_first,neutrality_oriented,css_primary,420,36688.000000,0.002529,0.002083,False,0.138095
llama3_70b,utility_first,neutrality_oriented,decisive_rate,420,33.000000,0.000000,0.002083,True,0.973810
llama3_70b,utility_first,clarification_first,utility,420,5041.500000,0.000000,0.002083,True,-0.804762
llama3_70b,utility_first,clarification_first,satisfaction,420,5946.500000,0.000000,0.002083,True,-0.769048
llama3_70b,utility_first,clarification_first,css_primary,420,36783.500000,0.002868,0.002083,False,0.080952
llama3_70b,utility_first,clarification_first,decisive_rate,420,10.500000,0.000000,0.002083,True,0.985714
llama3_70b,neutrality_oriented,clarification_first,utility,420,18142.000000,0.000000,0.002083,True,-0.540476
llama3_70b,neutrality_oriented,clarification_first,satisfaction,420,19392.500000,0.000000,0.002083,True,-0.519048
llama3_70b,neutrality_oriented,clarification_first,css_primary,420,43565.000000,0.797093,0.002083,False,-0.028571
llama3_70b,neutrality_oriented,clarification_first,decisive_rate,420,43160.000000,0.630046,0.002083,False,0.011905
qwen3_235b,vanilla,utility_first,utility,420,10979.000000,0.000000,0.002083,True,0.571429
qwen3_235b,vanilla,utility_first,satisfaction,420,8677.000000,0.000000,0.002083,True,0.614286
qwen3_235b,vanilla,utility_first,css_primary,420,39755.000000,0.073820,0.002083,False,-0.090476
qwen3_235b,vanilla,utility_first,decisive_rate,417,5967.500000,0.000000,0.002083,True,-0.630695
qwen3_235b,vanilla,neutrality_oriented,utility,420,40741.500000,0.162079,0.002083,False,-0.030952
qwen3_235b,vanilla,neutrality_oriented,satisfaction,420,40641.500000,0.150047,0.002083,False,-0.042857
qwen3_235b,vanilla,neutrality_oriented,css_primary,420,40826.000000,0.174632,0.002083,False,0.128571
qwen3_235b,vanilla,neutrality_oriented,decisive_rate,417,34324.500000,0.000045,0.002083,True,0.115108
qwen3_235b,vanilla,clarification_first,utility,420,15377.500000,0.000000,0.002083,True,-0.523810
qwen3_235b,vanilla,clarification_first,satisfaction,420,24578.500000,0.000000,0.002083,True,-0.361905
qwen3_235b,vanilla,clarification_first,css_primary,420,41134.000000,0.217302,0.002083,False,0.052381
qwen3_235b,vanilla,clarification_first,decisive_rate,418,25360.500000,0.000000,0.002083,True,0.239234
qwen3_235b,utility_first,neutrality_oriented,utility,420,9707.500000,0.000000,0.002083,True,-0.578571
qwen3_235b,utility_first,neutrality_oriented,satisfaction,420,7639.500000,0.000000,0.002083,True,-0.633333
qwen3_235b,utility_first,neutrality_oriented,css_primary,420,37066.000000,0.004131,0.002083,False,0.095238
qwen3_235b,utility_first,neutrality_oriented,decisive_rate,416,3249.000000,0.000000,0.002083,True,0.747596
qwen3_235b,utility_first,clarification_first,utility,420,5849.500000,0.000000,0.002083,True,-0.747619
qwen3_235b,utility_first,clarification_first,satisfaction,420,7885.000000,0.000000,0.002083,True,-0.685714
qwen3_235b,utility_first,clarification_first,css_primary,420,37047.000000,0.004032,0.002083,False,0.128571
qwen3_235b,utility_first,clarification_first,decisive_rate,417,742.500000,0.000000,0.002083,True,0.870504
qwen3_235b,neutrality_oriented,clarification_first,utility,420,16688.500000,0.000000,0.002083,True,-0.495238
qwen3_235b,neutrality_oriented,clarification_first,satisfaction,420,25648.000000,0.000000,0.002083,True,-0.347619
qwen3_235b,neutrality_oriented,clarification_first,css_primary,420,43200.000000,0.686400,0.002083,False,0.047619
qwen3_235b,neutrality_oriented,clarification_first,decisive_rate,417,33397.500000,0.000006,0.002083,True,0.124700
qwen3_local,vanilla,utility_first,utility,420,7320.500000,0.000000,0.002083,True,0.664286
qwen3_local,vanilla,utility_first,satisfaction,420,5529.500000,0.000000,0.002083,True,0.709524
qwen3_local,vanilla,utility_first,css_primary,418,39759.000000,0.103270,0.002083,False,-0.043062
qwen3_local,vanilla,utility_first,decisive_rate,415,7674.500000,0.000000,0.002083,True,-0.592771
qwen3_local,vanilla,neutrality_oriented,utility,420,30741.500000,0.000000,0.002083,True,-0.197619
qwen3_local,vanilla,neutrality_oriented,satisfaction,420,41030.000000,0.200233,0.002083,False,-0.021429
qwen3_local,vanilla,neutrality_oriented,css_primary,418,36866.000000,0.005114,0.002083,False,0.095694
qwen3_local,vanilla,neutrality_oriented,decisive_rate,417,19670.000000,0.000000,0.002083,True,0.328537
qwen3_local,vanilla,clarification_first,utility,420,19634.500000,0.000000,0.002083,True,-0.490476
qwen3_local,vanilla,clarification_first,satisfaction,420,29282.500000,0.000000,0.002083,True,-0.302381
qwen3_local,vanilla,clarification_first,css_primary,418,43735.000000,0.983698,0.002083,False,-0.019139
qwen3_local,vanilla,clarification_first,decisive_rate,418,19810.500000,0.000000,0.002083,True,0.327751
qwen3_local,utility_first,neutrality_oriented,utility,420,4728.500000,0.000000,0.002083,True,-0.721429
qwen3_local,utility_first,neutrality_oriented,satisfaction,420,5228.500000,0.000000,0.002083,True,-0.709524
qwen3_local,utility_first,neutrality_oriented,css_primary,419,34990.000000,0.000283,0.002083,True,0.150358
qwen3_local,utility_first,neutrality_oriented,decisive_rate,416,280.500000,0.000000,0.002083,True,0.920673
qwen3_local,utility_first,clarification_first,utility,420,4757.000000,0.000000,0.002083,True,-0.738095
qwen3_local,utility_first,clarification_first,satisfaction,420,6092.500000,0.000000,0.002083,True,-0.683333
qwen3_local,utility_first,clarification_first,css_primary,419,39341.000000,0.060604,0.002083,False,0.088305
qwen3_local,utility_first,clarification_first,decisive_rate,417,297.500000,0.000000,0.002083,True,0.918465
qwen3_local,neutrality_oriented,clarification_first,utility,420,26915.000000,0.000000,0.002083,True,-0.369048
qwen3_local,neutrality_oriented,clarification_first,satisfaction,420,30619.500000,0.000000,0.002083,True,-0.295238
qwen3_local,neutrality_oriented,clarification_first,css_primary,419,37441.000000,0.008232,0.002083,False,-0.169451
qwen3_local,neutrality_oriented,clarification_first,decisive_rate,419,43785.500000,0.922442,0.002083,False,-0.002387
pooled,vanilla,utility_first,utility,2520,496590.000000,0.000000,0.002083,True,0.516270
pooled,vanilla,utility_first,satisfaction,2520,470162.000000,0.000000,0.002083,True,0.531746
pooled,vanilla,utility_first,css_primary,2516,1441092.000000,0.000096,0.002083,True,-0.067170
pooled,vanilla,utility_first,decisive_rate,2502,248108.500000,0.000000,0.002083,True,-0.610711
pooled,vanilla,neutrality_oriented,utility,2520,1066218.500000,0.000000,0.002083,True,-0.198016
pooled,vanilla,neutrality_oriented,satisfaction,2520,1264680.500000,0.000000,0.002083,True,-0.110317
pooled,vanilla,neutrality_oriented,css_primary,2518,1452481.000000,0.000261,0.002083,True,0.062351
pooled,vanilla,neutrality_oriented,decisive_rate,2497,905568.000000,0.000000,0.002083,True,0.239888
pooled,vanilla,clarification_first,utility,2520,589300.000000,0.000000,0.002083,True,-0.507937
pooled,vanilla,clarification_first,satisfaction,2520,791841.500000,0.000000,0.002083,True,-0.390873
pooled,vanilla,clarification_first,css_primary,2518,1422946.000000,0.000008,0.002083,True,0.064734
pooled,vanilla,clarification_first,decisive_rate,2507,852529.500000,0.000000,0.002083,True,0.266055
pooled,utility_first,neutrality_oriented,utility,2520,320833.000000,0.000000,0.002083,True,-0.601587
pooled,utility_first,neutrality_oriented,satisfaction,2520,368082.000000,0.000000,0.002083,True,-0.578968
pooled,utility_first,neutrality_oriented,css_primary,2517,1341379.500000,0.000000,0.002083,True,0.111244
pooled,utility_first,neutrality_oriented,decisive_rate,2503,39467.500000,0.000000,0.002083,True,0.852577
pooled,utility_first,clarification_first,utility,2520,217077.500000,0.000000,0.002083,True,-0.724603
pooled,utility_first,clarification_first,satisfaction,2520,266839.500000,0.000000,0.002083,True,-0.681349
pooled,utility_first,clarification_first,css_primary,2517,1299375.500000,0.000000,0.002083,True,0.123560
pooled,utility_first,clarification_first,decisive_rate,2513,26151.500000,0.000000,0.002083,True,0.877039
pooled,neutrality_oriented,clarification_first,utility,2520,869756.500000,0.000000,0.002083,True,-0.385714
pooled,neutrality_oriented,clarification_first,satisfaction,2520,985180.000000,0.000000,0.002083,True,-0.324603
pooled,neutrality_oriented,clarification_first,css_primary,2519,1548759.000000,0.295254,0.002083,False,0.000794
pooled,neutrality_oriented,clarification_first,decisive_rate,2508,1495751.000000,0.017051,0.002083,False,0.025518
